session_id,timestamp,action,row,col,is_bomb,is_flagged,adjacent_bombs,snapshot,floodfill,step,was_correct_flag,total_flags_used,valid_move
1,11:46:03,reveal,3,6,0,0,1,moves_snapshot/move_0001.npy,0,0,0,0,0
1,11:46:04,reveal,2,2,0,0,0,moves_snapshot/move_0002.npy,1,1,0,0,0
1,11:46:04,flag,0,3,1,1,0,moves_snapshot/move_0003.npy,0,2,1,1,1
1,11:46:04,reveal,0,4,0,0,1,moves_snapshot/move_0004.npy,0,3,0,1,0
1,11:46:04,flag,5,2,1,1,0,moves_snapshot/move_0005.npy,0,4,1,2,1
1,11:46:05,reveal,0,5,0,0,0,moves_snapshot/move_0006.npy,1,5,0,2,0
1,11:46:05,flag,3,5,1,1,0,moves_snapshot/move_0007.npy,0,6,1,3,1
1,11:46:06,reveal,4,5,0,0,1,moves_snapshot/move_0008.npy,0,7,0,3,0
1,11:46:06,flag,6,0,1,1,0,moves_snapshot/move_0009.npy,0,8,1,4,1
1,11:46:07,reveal,5,3,0,0,1,moves_snapshot/move_0010.npy,0,9,0,4,0
1,11:46:07,flag,6,1,1,1,0,moves_snapshot/move_0011.npy,0,10,1,5,1
1,11:46:08,reveal,4,6,0,0,1,moves_snapshot/move_0012.npy,0,11,0,5,0
1,11:46:08,reveal,4,7,0,0,1,moves_snapshot/move_0013.npy,0,12,0,5,0
1,11:46:08,flag,4,8,1,1,0,moves_snapshot/move_0014.npy,0,13,1,6,1
1,11:46:09,reveal,5,4,0,0,0,moves_snapshot/move_0015.npy,1,14,0,6,0
1,11:46:10,reveal,5,8,0,0,1,moves_snapshot/move_0016.npy,0,15,0,6,0
1,11:46:11,reveal,6,2,0,0,2,moves_snapshot/move_0017.npy,0,16,0,6,0
1,11:46:12,reveal,6,8,0,0,1,moves_snapshot/move_0018.npy,0,17,0,6,0
1,11:46:12,flag,7,8,1,1,0,moves_snapshot/move_0019.npy,0,18,1,7,1
1,11:46:12,reveal,7,1,0,0,2,moves_snapshot/move_0020.npy,0,19,0,7,0
1,11:46:13,reveal,7,2,0,0,2,moves_snapshot/move_0021.npy,0,20,0,7,0
1,11:46:14,reveal,7,0,0,0,2,moves_snapshot/move_0022.npy,0,21,0,7,0
1,11:46:15,reveal,8,0,0,0,0,moves_snapshot/move_0023.npy,1,22,0,7,0
1,11:46:16,flag,8,3,1,1,0,moves_snapshot/move_0024.npy,0,23,1,8,1
1,11:46:16,flag,8,4,1,1,0,moves_snapshot/move_0025.npy,0,24,1,9,1
1,11:46:16,reveal,8,5,0,0,2,moves_snapshot/move_0026.npy,0,25,0,9,0
1,11:46:16,flag,8,6,1,1,0,moves_snapshot/move_0027.npy,0,26,1,10,1
1,11:46:17,reveal,8,7,0,0,2,moves_snapshot/move_0028.npy,0,27,0,10,0
1,11:46:18,reveal,8,8,0,0,1,moves_snapshot/move_0029.npy,0,28,0,10,0
1,11:46:21,reveal,0,4,0,0,0,moves_snapshot/move_0030.npy,1,29,0,10,0
